y_test,y_pred,true_width,pred_width,abs_error
1185.52,1188.729802527759,1185.52,1188.729802527759,3.2098025277589386
1261.17,1257.424535259022,1261.17,1257.424535259022,3.74546474097815
1551.9,1549.293023562755,1551.9,1549.293023562755,2.6069764372450663
1452.61,1451.613650049797,1452.61,1451.613650049797,0.9963499502030118
1238.51,1239.3222645463052,1238.51,1239.3222645463052,0.8122645463051867
1362.14,1366.7233541346523,1362.14,1366.7233541346523,4.583354134652154
1325.95,1324.6828927140318,1325.95,1324.6828927140318,1.2671072859682226
1200.65,1203.7583412852096,1200.65,1203.7583412852096,3.1083412852094625
1019.73,1014.6554600116633,1019.73,1014.6554600116633,5.07453998833671
1109.76,1116.5288051728892,1109.76,1116.5288051728892,6.768805172889188
1611.8,1611.2755423169142,1611.8,1611.2755423169142,0.5244576830857568
1308.94,1308.8064597476641,1308.94,1308.8064597476641,0.13354025233593347
1547.72,1540.0784850852333,1547.72,1540.0784850852333,7.641514914766731
1257.17,1255.9888569590444,1257.17,1255.9888569590444,1.1811430409557033
1331.46,1336.3534867272688,1331.46,1336.3534867272688,4.893486727268737
1111.18,1109.8367687744103,1111.18,1109.8367687744103,1.3432312255897614
1296.67,1293.8570179113449,1296.67,1293.8570179113449,2.8129820886551897
1551.8,1557.02682353795,1551.8,1557.02682353795,5.22682353794994
1560.62,1555.411343988217,1560.62,1555.411343988217,5.208656011782978
1289.82,1290.2523052312204,1289.82,1290.2523052312204,0.4323052312204254
1464.71,1463.0983652916118,1464.71,1463.0983652916118,1.6116347083882374
1551.29,1551.6724545349539,1551.29,1551.6724545349539,0.3824545349539221
1498.02,1499.3362552596063,1498.02,1499.3362552596063,1.3162552596063506
1254.18,1254.5136843841026,1254.18,1254.5136843841026,0.33368438410252566
1487.03,1483.833617616327,1487.03,1483.833617616327,3.196382383672926
1317.14,1316.5034306070502,1317.14,1316.5034306070502,0.636569392949923
954.97,953.3358917891844,954.97,953.3358917891844,1.6341082108156115
1312.78,1316.4738708810396,1312.78,1316.4738708810396,3.6938708810396292
1287.75,1285.787097133577,1287.75,1285.787097133577,1.9629028664230646
1650.12,1648.5401817312695,1650.12,1648.5401817312695,1.579818268730378
1304.25,1306.7020064900616,1304.25,1306.7020064900616,2.452006490061649
1351.05,1354.4310565166393,1351.05,1354.4310565166393,3.381056516639319
1370.17,1370.5531617410325,1370.17,1370.5531617410325,0.38316174103238154
1291.2,1287.4506231318321,1291.2,1287.4506231318321,3.7493768681679285
1302.64,1302.5682362264026,1302.64,1302.5682362264026,0.07176377359746766
988.63,990.9364465389459,988.63,990.9364465389459,2.30644653894592
1549.5,1540.9634040155709,1549.5,1540.9634040155709,8.536595984429141
1017.86,1018.8433679051777,1017.86,1018.8433679051777,0.9833679051777153
1745.55,1746.9692202900414,1745.55,1746.9692202900414,1.419220290041494
1493.4,1488.489978862162,1493.4,1488.489978862162,4.910021137838157
1094.81,1088.2307676886403,1094.81,1088.2307676886403,6.579232311359647
1309.21,1308.5835224254588,1309.21,1308.5835224254588,0.6264775745412408
1356.08,1359.1504299830326,1356.08,1359.1504299830326,3.0704299830326818
1325.37,1328.9768552742153,1325.37,1328.9768552742153,3.606855274215377
1325.6,1326.6874363562902,1325.6,1326.6874363562902,1.0874363562902545
1241.88,1246.1098211910585,1241.88,1246.1098211910585,4.229821191058363
1746.93,1743.9572184348926,1746.93,1743.9572184348926,2.972781565107425
1427.47,1425.4503522908012,1427.47,1425.4503522908012,2.019647709198807
1303.74,1302.411717444365,1303.74,1302.411717444365,1.3282825556350417
1308.33,1318.2244493736237,1308.33,1318.2244493736237,9.89444937362373
1255.55,1254.0952301258335,1255.55,1254.0952301258335,1.454769874166459
1360.76,1362.7349538486653,1360.76,1362.7349538486653,1.9749538486653364
1551.36,1555.331560914348,1551.36,1555.331560914348,3.9715609143481743
1045.54,1050.5508526424692,1045.54,1050.5508526424692,5.010852642469217
1019.6,1021.0740346515372,1019.6,1021.0740346515372,1.4740346515371812
1185.5,1188.2518805813586,1185.5,1188.2518805813586,2.7518805813585914
1690.46,1690.1451882679062,1690.46,1690.1451882679062,0.31481173209385815
1287.0,1289.3796792663118,1287.0,1289.3796792663118,2.3796792663117685
1170.19,1169.5249292750664,1170.19,1169.5249292750664,0.6650707249336847
1253.78,1256.5775780007289,1253.78,1256.5775780007289,2.7975780007288904
1354.94,1359.1276045310835,1354.94,1359.1276045310835,4.18760453108348
1046.02,1048.7949340060266,1046.02,1048.7949340060266,2.7749340060265695
1189.65,1195.0549047187487,1189.65,1195.0549047187487,5.404904718748639
1208.22,1213.6283319029772,1208.22,1213.6283319029772,5.408331902977125
1076.12,1081.0430396943423,1076.12,1081.0430396943423,4.923039694342378
1272.93,1274.6447269394716,1272.93,1274.6447269394716,1.714726939471575
1837.09,1834.48757285975,1837.09,1834.48757285975,2.602427140250029
1261.28,1259.003742052118,1261.28,1259.003742052118,2.276257947881959
1302.17,1305.7587605714825,1302.17,1305.7587605714825,3.588760571482453
1308.15,1311.7973618451297,1308.15,1311.7973618451297,3.6473618451295806
1424.46,1421.7618759398215,1424.46,1421.7618759398215,2.698124060178543
1303.35,1303.2341953807065,1303.35,1303.2341953807065,0.11580461929338526
1413.25,1416.7242503880225,1413.25,1416.7242503880225,3.474250388022483
1110.75,1103.5111553164807,1110.75,1103.5111553164807,7.238844683519346
1600.32,1603.9807019164355,1600.32,1603.9807019164355,3.660701916435528
964.31,967.9588541069708,964.31,967.9588541069708,3.6488541069708162
1213.56,1212.3687636519517,1213.56,1212.3687636519517,1.1912363480482782
974.86,972.832798514487,974.86,972.832798514487,2.0272014855130465
1665.37,1667.3223112853061,1665.37,1667.3223112853061,1.952311285306223
1311.66,1304.5714227688336,1311.66,1304.5714227688336,7.088577231166482
1740.44,1739.4807954019548,1740.44,1739.4807954019548,0.9592045980452895
1018.12,1018.6644466071654,1018.12,1018.6644466071654,0.5444466071653551
1488.92,1484.202298836728,1488.92,1484.202298836728,4.717701163272068
1285.59,1287.2178503082991,1285.59,1287.2178503082991,1.6278503082992302
982.58,981.3944468396294,982.58,981.3944468396294,1.1855531603706595
1311.84,1312.0333540913848,1311.84,1312.0333540913848,0.19335409138489013
995.3,995.8857436791602,995.3,995.8857436791602,0.5857436791602595
1360.06,1361.742421315746,1360.06,1361.742421315746,1.682421315746069
1506.26,1511.1204746802755,1506.26,1511.1204746802755,4.860474680275502
1069.4,1068.9042664440299,1069.4,1068.9042664440299,0.49573355597021873
1549.35,1551.5753063750565,1549.35,1551.5753063750565,2.2253063750565616
1325.21,1322.259778585929,1325.21,1322.259778585929,2.9502214140709384
1485.69,1481.0598890043766,1485.69,1481.0598890043766,4.630110995623454
1073.45,1076.3339517124073,1073.45,1076.3339517124073,2.8839517124072245
1535.15,1534.302215741207,1535.15,1534.302215741207,0.8477842587931264
1341.83,1341.914204835377,1341.83,1341.914204835377,0.08420483537702239
1473.96,1466.1770263628023,1473.96,1466.1770263628023,7.782973637197756
1529.36,1530.1868546357337,1529.36,1530.1868546357337,0.8268546357337527
1371.46,1373.9847512284848,1371.46,1373.9847512284848,2.5247512284847744
1127.83,1124.2710199989583,1127.83,1124.2710199989583,3.5589800010416184
1286.18,1292.0508462250461,1286.18,1292.0508462250461,5.87084622504608
1302.36,1303.531489219793,1302.36,1303.531489219793,1.1714892197931022
1302.51,1309.294816573892,1302.51,1309.294816573892,6.784816573891931
1084.16,1078.8041653278567,1084.16,1078.8041653278567,5.355834672143374
1287.41,1290.9699646673598,1287.41,1290.9699646673598,3.5599646673597363
1282.75,1285.0030624893416,1282.75,1285.0030624893416,2.2530624893415734
1301.66,1301.5539222348086,1301.66,1301.5539222348086,0.10607776519145773
1298.87,1295.2265445133194,1298.87,1295.2265445133194,3.643455486680523
1195.07,1185.7863561300042,1195.07,1185.7863561300042,9.283643869995785
1726.25,1724.0730903753545,1726.25,1724.0730903753545,2.176909624645532
1411.8,1414.6587045440097,1411.8,1414.6587045440097,2.858704544009697
957.15,961.8213008593514,957.15,961.8213008593514,4.6713008593513905
958.07,953.1952430854097,958.07,953.1952430854097,4.874756914590307
985.06,981.9474849277881,985.06,981.9474849277881,3.1125150722118633
1273.03,1273.099393366544,1273.03,1273.099393366544,0.0693933665440909
1275.35,1275.07165623109,1275.35,1275.07165623109,0.2783437689099628
1323.44,1320.0233151355712,1323.44,1320.0233151355712,3.4166848644288166
1330.78,1336.2791183305062,1330.78,1336.2791183305062,5.499118330506235
